Entity,Code,Year,Oil consumption - TWh,Country name,Population,Population of children under the age of 1,Population of children under the age of 5,Population of children under the age of 15,Population under the age of 25,Population aged 15 to 64 years,Population older than 15 years,Population older than 18 years,Population at age 1,Population aged 1 to 4 years,Population aged 5 to 9 years,Population aged 10 to 14 years,Population aged 15 to 19 years,Population aged 20 to 29 years,Population aged 30 to 39 years,Population aged 40 to 49 years,Population aged 50 to 59 years,Population aged 60 to 69 years,Population aged 70 to 79 years,Population aged 80 to 89 years,Population aged 90 to 99 years,Population older than 100 years,Oil consumption per capita - TWh,Cluster
Algeria,DZA,1969,21.305931,Algeria,13491022,556423,2469433,6360203,8794249,6640766,7130817,6228817,504988,1913010,2152171,1738599,1410093,1864801,1440030,978513,681025,468517,234614,52171,1053,2,1.58E-06,4
Argentina,ARG,1969,308.01144,Argentina,23472030,515067.03,2459158,6998450,11087681,14965958,16473540,15184236,497354,1944091,2307195,2232097,2119062,3720632,3170334,2878131,2227162,1502635,692221,155715,7648,40,1.31E-05,6
Australia,AUS,1969,262.44812,Australia,12268351,240409,1162685,3544916,5665067,7687270,8723249,8065938,233157,922276,1224129,1158102,1085532,1876172,1488867,1539514,1222062,848812,479177,168050,15063,186,2.14E-05,3
Austria,AUT,1969,97.22599,Austria,7439324,120929,622888,1807186,2800417,4597547,5632083,5334820,123436,501959,632575,551723,497088,1067076,865700,944666,772282,849337,481303,144054,10577,55,1.31E-05,6
Belgium,BEL,1969,284.00696,Belgium,9592105,139139,734705,2278104,3688802,6040999,7313893,6881040,141440,595566,785157,758242,715863,1249463,1247847,1293265,993222,1019783,593514,185697,15239,108,2.96E-05,1
Brazil,BRA,1969,263.56772,Brazil,94000380,3133705,14928546,40432240,58431290,50632856,53568040,47363028,2994394,11794841,13683656,11820039,10015109,14731085,10879112,7990594,5227104,3096410,1327003,289411,12211,107,2.80E-06,4
Bulgaria,BGR,1969,91.278786,Bulgaria,8512917,144398,665541,1990999,3367317,5716376,6521008,6116549,135548,521143,664421,661037,678416,1277645,1243082,1234543,860240,749911,357791,107072,12308,910,1.07E-05,6
Canada,CAN,1969,801.5453,Canada,21033938,358366,1947663,6504245,10269902,12864149,14529213,13292789,361779,1589297,2307779,2248803,2017395,3180917,2531832,2465611,1936936,1310894,761145,293410,31073,481,3.81E-05,5
Chile,CHL,1969,52.70953,Chile,9656302,270421,1308213,3703879,5574720,5583551,5952423,5323448,262356,1037792,1245273,1150393,1020698,1550568,1204852,966526,619367,381114,177387,31509,402,0,5.46E-06,0
China,CHN,1969,240.04433,China,801431000,29501882,134533630,329005700,479430370,442872580,472425100,416712260,26932938,105031750,100237090,94234990,87923816,113294216,94796170,73574290,53568950,33871050,13022039,2299954,74619,155,3.00E-07,4
Colombia,COL,1969,67.855446,Colombia,20392264,724394,3506277,9464230,13485665,10311215,10928006,9516504,705217,2781883,3209639,2748314,2257429,3151806,2071830,1466306,1013869,600346,284218,77619,4583,28,3.33E-06,4
Cyprus,CYP,1969,7.5897937,Cyprus,636830,12075,61538,201985,322617,384069,434838,395672,12048,49463,68730,71717,63861,100362,76158,63831,55476,44391,21967,8099,693,7,1.19E-05,6
Czechia,CZE,1969,68.492935,Czechia,9782559,137566,695141,2111334,3807879,6512422,7671175,7167894,134900,557575,666645,749548,846186,1529607,1169078,1328686,1048338,1075403,530041,134914,8922,50,7.00E-06,0
Denmark,DNK,1969,193.82655,Denmark,4896156,72178,401304,1151609,1948746,3152525,3744492,3521252,77042,329126,382560,367745,374091,773983,572180,597155,576535,473446,279248,90286,7568,55,3.96E-05,5
Ecuador,ECU,1969,11.293051,Ecuador,5997045,229921,1045026,2672806,3820846,3087378,3324236,2929113,214986,815105,879845,747935,638558,920705,629657,450547,328513,212957,111041,30369,1889,3,1.88E-06,4
Egypt,EGY,1969,55.378662,Egypt,33995960,1259781,5493067,14138008,20479734,18482920,19857944,17720600,1136956,4233286,4603916,4041025,3421938,4965899,3909261,3165943,2228145,1370255,640277,148086,8139,10,1.63E-06,4
Finland,FIN,1969,112.9222,Finland,4624400,68159,364272,1164112,2045800,3051045,3460269,3200473,72329,296113,389534,410306,438376,752591,574559,566305,493763,396301,187588,47881,2905,19,2.44E-05,1
France,FRA,1969,982.66754,France,50087056,809896,4109905,12361858,20464448,31315146,37724344,35259052,806183,3300009,4153853,4098100,4169843,6835753,6469084,6527261,4677593,4967504,2941161,1037174,98970,855,1.96E-05,3
Germany,DEU,1969,1496.9418,Germany,78012490,1152860,6247597,18217084,28095416,49320984,59794996,56626510,1218056,5094737,6386964,5582522,5275853,10582506,10968869,9604640,8066612,8951891,4855962,1391927,96737,408,1.92E-05,3
